File,Detection start,Detection end,Common name,Latin name,Confidence,Label,Comment,Call count,File offset,Start (s),Latitude,Longitude,Place,Model
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_210000.WAV,2025-04-22 18:00:39.000,2025-04-22 18:00:42.000,Abetouro,Botaurus stellaris,0.7350893020629883,,,,00:00:39,39,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_211000.WAV,2025-04-22 18:10:00.000,2025-04-22 18:10:03.000,Sabiá-Barranco,Turdus leucomelas,0.9579227566719055,,,,00:00:00,0,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:09.000,2025-04-22 19:20:12.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.7587553858757019,,,,00:00:09,9,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:12.000,2025-04-22 19:20:15.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.8703670501708984,,,,00:00:12,12,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:18.000,2025-04-22 19:20:21.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.7724798917770386,,,,00:00:18,18,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:21.000,2025-04-22 19:20:24.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.7274883389472961,,,,00:00:21,21,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:24.000,2025-04-22 19:20:27.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.9356518983840942,,,,00:00:24,24,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:33.000,2025-04-22 19:20:36.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.48592787981033325,,,,00:00:33,33,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:36.000,2025-04-22 19:20:39.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.8471508622169495,,,,00:00:36,36,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_222000.WAV,2025-04-22 19:20:39.000,2025-04-22 19:20:42.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.8476284146308899,,,,00:00:39,39,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_032000.WAV,2025-04-23 00:20:06.000,2025-04-23 00:20:09.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.585614025592804,,,,00:00:06,6,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_045000.WAV,2025-04-23 01:50:15.000,2025-04-23 01:50:18.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.5389881730079651,,,,00:00:15,15,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_045000.WAV,2025-04-23 01:50:21.000,2025-04-23 01:50:24.000,Yellowish-Bellied Bush Warbler,Horornis acanthizoides,0.9522755146026611,,,,00:00:21,21,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
